gene_id	RCC_115	RCC_90	RCC_41	RCC_73	RCC_105	PD_007T	PD_011T	PD_012T	PD_018T	PD_019T	PD_020T	PD_022T	PD_024T	PD_026T	RCC_14	RCC_93	RCC_96	RCC_102	RCC_117	RCC_106	RCC_18	RCC_21	RCC_50	RCC_27	PD_005T	PD_010T	PD_013T	PD_014T	PD_015T	PD_021T	PD_023T	PD_025T	RCC_99
TSPAN6	33.1	31.1	23.47	34.65	66.97	4.78	8.26	6.03	6.25	6.07	1.68	7.64	6.46	5.18	33.9	48.54	25.55	16.72	14.06	19.11	37.1	17.29	13.79	38.71	13.69	1.83	7.6	6	9.5	10.81	6.21	4.29	11.23
TNMD	0	1.01	0	1.46	1.64	0.02	0.62	0.07	3.94	0	0.1	0.06	0.14	0.52	0	0	0	0.68	0	1.37	0	0	0	0	0.17	0.09	0.08	0.19	0	0.21	0	0.03	0
DPM1	54.19	54.64	58.37	41.85	45.54	32.32	30	33.26	23.42	19.52	18.31	28.54	20.57	37.46	31.01	53.67	87.84	17.83	39.01	62.8	32.2	53.48	24.57	46.16	27.81	16.05	24.87	29.46	31.4	51.05	21.71	18.08	55.47
SCYL3	7.16	1.46	2.78	1.48	1.24	2.75	2.73	2.39	2.56	1.87	1.6	2.05	4.67	2.96	2	2.11	5.94	1.34	2.25	3.72	1.4	6.24	1.53	5	1.08	1.57	1.1	2.38	1.85	4.02	2.01	1.94	1.84
C1orf112	3.17	2.04	1.51	3.55	1	6.09	9.09	4.81	6.22	4.07	2.93	5.23	11.04	7.09	1.51	2.77	7.9	1.32	3.59	1.64	0.44	4.46	2.46	4.14	2.13	6.05	4.24	6.16	5.38	8.55	7.51	5.26	4.2
FGR	13.35	2.29	9.76	2.73	5.46	0.63	7.02	4.06	2.45	1.59	2.75	2.38	14.15	1.33	20.53	6.35	4.28	7.95	23.31	12.14	0.7	4.18	4.98	5.35	2.27	1.09	2.5	2.62	2.69	2.15	4.07	6.47	11.87
CFH	49.96	8.73	31.79	27.41	13.15	96.83	87.01	204.84	39.27	99.43	32.88	60.34	20.61	5.69	28.17	76.37	60.93	16.15	6.52	93.04	468.23	66.59	31.79	112.59	77.56	10.08	128.75	102.63	43.25	211.01	43.7	94.07	230.55
FUCA2	38.88	14.22	45.92	22.54	50.74	16.55	14.48	25.77	12.17	9.52	10.82	18.76	8.71	7.72	35.19	30.92	51.71	53.57	32.42	41.17	17.71	32.15	33.61	79.12	13.75	5.59	8.83	9.74	22.54	23.25	7.29	16.53	22.58
GCLC	19.71	4.59	11.07	3.95	13.11	15.31	28.34	17.2	18.6	11.85	10.6	21.95	17.84	18.77	11.37	14.16	9.78	4.55	8.62	16.35	10.73	6.81	7.66	15.24	11.67	9.88	27.31	12.24	36.54	27.3	24.09	9.21	9.16
NFYA	13.94	2.14	7.52	7.57	4.92	10.54	16.29	8.38	11.93	7.75	6.74	7.95	23.34	17.92	4.83	7.92	8.91	4.68	6	14.44	2.75	14.14	4.79	23.95	4.15	8.18	9.44	9.04	10.57	10.9	6.18	8.2	6.42
STPG1	1.99	0.47	2.19	2.39	4.24	2.21	3.24	1.47	4.05	2.02	0.57	2.25	1.82	0.89	2.16	3.62	6.21	4.53	7.44	2.4	0.95	6.94	1.38	1.08	3.47	2.02	0.87	1.1	1.65	4.85	1.48	0.95	1.84
NIPAL3	6.43	1.97	13.78	6.07	8.79	9.21	23.78	11.23	14.26	8.12	4.46	13.28	9.7	7.89	16.18	8.54	15.14	8.33	18.42	10.4	4.31	8.15	7.59	6.82	37.46	12.76	6.85	11.25	16	21.58	13.39	8.2	4.23
LAS1L	19.74	2.14	13.04	17.91	14.31	11.11	11.05	10.2	9.79	7.81	6.17	8.75	13.98	14.74	9.03	19.37	27.91	16.03	22.56	19.32	7.47	24.12	13.37	16.95	7.75	6.05	7.18	11.6	8.33	21.75	9.93	7.43	14.88
ENPP4	10.98	2.56	8.85	3.53	5.51	1.52	4.64	4	2.74	2.73	2.66	4.39	3.85	4.61	2.98	3.8	8.77	2.84	5.69	6.53	3.54	15.58	4.37	12.47	4	2.39	2.34	2.25	3.2	4.59	2.25	2.94	2.11
SEMA3F	16.85	0.62	7.22	37.1	3.76	33.78	28.05	30.92	21.26	15.87	3.66	39.07	22.23	68.65	4.65	28.7	28.05	82.49	23.51	34.81	9.36	12.03	20.95	54.9	8.14	11.52	33.5	38.99	19.23	15.15	33.6	28.41	2.13
CFTR	0	0	0	0	0.07	0.13	0.01	0.02	0.19	0	0.01	3.55	0.1	125.47	0	2.83	0	0	0	0	0.57	0	0	0	0.01	0	0.45	0.18	0.02	0.2	0.74	0.19	0
ANKIB1	17.37	2.34	14.22	4.69	6.12	18.58	40.95	26.75	44.81	23.22	11.37	20.64	47.29	34.88	2.8	12.14	26.27	4.7	4.8	17.89	3.53	13.33	6.31	15.48	24.49	14.14	17.29	30.67	46.94	58.28	28.93	39.68	4.87
CYP51A1	24.85	2.4	9.49	16.25	9.73	11.51	6.84	9.32	6.59	21.24	6.25	13.77	10.49	19.09	8.91	15.42	28.49	7.48	12.15	18.17	33.78	28.43	14.38	18.7	7.06	5.5	5.48	7.55	10.31	16.43	10.94	9.08	15.78
KRIT1	26.72	3.58	11.43	20.66	8.76	39.23	38.42	21.17	38.76	26.61	15.48	21.21	47.11	44.31	3.84	10.71	34.7	1.93	8.79	29.2	4.98	9.81	7.48	23.19	21.25	16.09	16.79	31.98	45.06	60.82	31.78	25.91	7.29
RAD52	2.71	0.11	0	1.72	1.1	16.93	30.06	7.47	9.62	15.23	10.07	6.07	30.93	20.75	1.1	18.68	8.47	2.13	3.13	11.87	1.36	9.71	0.47	2.95	5.4	7.99	6.94	10.37	12.67	16.44	9.14	10.51	2.72
BAD	35.62	105.47	19.46	58.6	40.87	5.96	9.03	3.8	4.93	3.73	1.76	4.97	5.69	4.73	38.85	17.08	47.58	141.89	86.08	22.54	18.08	63.28	101.65	43.15	6.18	2.39	3.71	3.37	4.79	6.69	4.54	3.52	39.33
LAP3	76.43	27.23	217.37	60.39	38.22	67.67	110.27	73.26	119.48	39.82	146.63	43.3	158.67	55.22	154	193.77	67.44	65.23	221.57	95.17	58.43	149.85	176.81	118.78	102.48	30.14	68	56.77	41.18	78.9	44.17	67.84	62.65
HS3ST1	0.54	0.57	0.21	2.56	5.03	0.04	0.25	0.09	0.27	0.08	0.05	0.1	0.19	0.72	1.34	0.53	0.97	0.9	0.85	0.63	0.19	2.04	3.36	1.52	0.19	0.07	0.13	0.06	0.14	0.11	0.15	0.19	0.41
AOC1	10.34	0	143.55	10.96	0	0.18	156.66	1.96	54.17	0.03	0.07	4.57	0.59	0.34	2.12	0	123.06	14.19	0	6.55	1.47	0	1.34	0	59.35	0.25	1.62	4.35	18.43	29.4	0.54	2.97	5.82
WNT16	0.51	0	0.46	0	0	0.28	0.07	0.14	0.08	0.15	0.11	2.07	0.72	0.09	0	0	0	0	0	0	0	0	0	0	0.12	0.41	0.04	0.11	0.04	0.05	0	0.09	0
