Drug	Drug Target	Effect size	P-value	FDR%	No. of altered cell lines	Tissue analysis
AZD8186	"PI3Kalpha, PI3Kbeta"	-0.95	0.00134	17.5	17	PANCANCER
AZD5363	"AKT1, AKT2, AKT3, ROCK2"	-0.862	0.00734	17.9	17	PANCANCER
Alpelisib	PI3Kalpha	-0.497	0.00759	28.2	20	PANCANCER
MK-2206	"AKT1, AKT2"	-0.739	0.00912	35.3	18	PANCANCER
Pictilisib	PI3K (class 1)	-0.762	0.011	21.7	17	PANCANCER
Taselisib	PI3K (beta sparing)	-0.542	0.0133	33.7	20	PANCANCER
AZD1208	"PIM1, PIM2, PIM3"	-0.473	0.0203	59.5	19	PANCANCER
Buparlisib	"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	-0.58	0.0247	17	17	PANCANCER
Ipatasertib	"AKT1, AKT, AKT3"	-0.802	0.0258	48.3	17	PANCANCER
Foretinib	"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	-0.365	0.0279	66	18	PANCANCER
XAV939	"TNKS1, TNKS2"	-0.439	0.028	96.8	19	PANCANCER
AMG-319	PI3K (beta sparing)	-0.48	0.0291	52.2	18	PANCANCER
Temozolomide	DNA alkylating agent	-0.474	0.0344	61.2	18	PANCANCER
Uprosertib	"AKT1, AKT2, AKT3"	-0.776	0.0408	27	15	PANCANCER
Uprosertib	"AKT1, AKT2, AKT3"	-0.613	0.0454	69.3	19	PANCANCER
AZ6102	"TNKS1, TNKS2"	-0.534	0.0471	32.7	16	PANCANCER
AZD4547	"FGFR1, FGFR2, FGFR3"	-0.379	0.0486	81.8	17	PANCANCER
ABT737	"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	-0.227	0.0487	35.1	17	PANCANCER
BMS-536924	"IGF1R, IR"	-0.347	0.0542	43.1	17	PANCANCER
AZD1332	"NTRK1, NTRK2, NTRK3"	-0.36	0.0567	38.9	19	PANCANCER
MN-64	"TNKS1, TNKS2"	-0.411	0.0669	97.6	19	PANCANCER
5-Fluorouracil	Antimetabolite (DNA & RNA)	-0.459	0.0682	63.2	20	PANCANCER
Entospletinib	SYK	-0.304	0.0713	67.2	19	PANCANCER
Mirin	MRE11	-0.344	0.087	75.2	19	PANCANCER
Navitoclax	"BCL2, BCL-XL, BCL-W"	-0.176	0.0951	67.9	16	PANCANCER
PD173074	"FGFR1, FGFR2, FGFR3"	-0.363	0.0978	96.2	17	PANCANCER
WEHI-539	BCL-XL	-0.262	0.1	95.2	17	PANCANCER
Afuresertib	"AKT1, AKT2, AKT3"	-0.636	0.101	45.3	17	PANCANCER
PAK_5339	"PAK1, PAK2"	-0.428	0.108	63.3	19	PANCANCER
Bortezomib	Proteasome	-0.393	0.112	91.2	17	PANCANCER
Staurosporine	Broad spectrum kinase inhibitor	-0.451	0.115	30.3	18	PANCANCER
